Damasco, Visitar la Ciudad Vieja de Damasco (Patrimonio de la Humanidad), Recorrer la Mezquita de los Omeyas, Pasear por el Bazar de Al-Hamidiyeh, Explorar el Museo Nacional de Damasco, Disfrutar de la calle Malki
Santiago de Chile, Visitar el Cerro San Cristóbal, Recorrer el Museo de Bellas Artes, Pasear por el Barrio Lastarria, Explorar el Mercado Central, Disfrutar del Parque Metropolitano
Riga, Visitar la Casa de las Cabezas Negras, Recorrer la Catedral de Riga, Pasear por el Mercado Central de Riga, Explorar el Parque Bastejkalna, Disfrutar del Museo de Arte de Riga
Münich, Visitar el Palacio de Nymphenburg, Recorrer el Museo de la BMW, Pasear por la Plaza Marienplatz, Explorar el Parque Englischer Garten, Disfrutar de una cerveza en el Hofbräuhaus
Nice, Visitar el Paseo de los Ingleses, Recorrer el Museo Matisse, Pasear por el Viejo Niza, Explorar el Mercado de Cours Saleya, Disfrutar de la playa de la Costa Azul
Limerick, Visitar el Castillo de King John, Recorrer el Museo Hunt, Pasear por el Parque de la Isla, Explorar el Mercado de Limerick, Disfrutar del Museo de Historia
New Orleans, Visitar el Barrio Francés, Recorrer el Museo Nacional de la Segunda Guerra Mundial, Pasear por el Jardín de la Ciudad, Explorar la Catedral de San Luis, Disfrutar de la música en vivo en Bourbon Street
Suzhou, Visitar los Jardines Clásicos de Suzhou (Patrimonio de la Humanidad), Recorrer el Museo de Suzhou, Pasear por el Lago Jinji, Explorar el Templo de Hanshan, Disfrutar del Mercado de Seda
Buenos Aires, Visitar la Casa Rosada, Recorrer el Museo de Arte Latinoamericano de Buenos Aires, Pasear por el Barrio San Telmo, Explorar el Cementerio de la Recoleta, Disfrutar de un show de tango en La Boca
Djerba, Visitar el Museo de Arte y Tradición de Djerba, Recorrer la Medina de Houmt Souk, Pasear por las playas de Djerba, Explorar el Parque Djerba Explore, Disfrutar del Mercado de la isla
Nanjing, Visitar el Mausoleo de Sun Yat-sen, Recorrer el Museo de Nanjing, Pasear por el Lago Xuanwu, Explorar la Ciudad Vieja de Nanjing, Disfrutar del Mercado de Confucio
Paphos, Visitar las Tumbas de los Reyes, Recorrer el Museo Arqueológico de Paphos, Pasear por el Puerto de Paphos, Explorar el Parque Arqueológico de Paphos, Disfrutar de las playas de Coral Bay
Aman, Visitar la Ciudadela de Amán, Recorrer el Museo de Jordania, Pasear por la Calle Rainbow, Explorar el Templo de Hércules, Disfrutar del Mercado de Souk al-Bukhariyeh
Londres, Visitar el Museo Británico, Recorrer el Palacio de Buckingham, Pasear por el Parque Hyde, Explorar el Mercado de Borough, Disfrutar de la Torre de Londres
Peking, Visitar la Gran Muralla China, Recorrer la Ciudad Prohibida, Pasear por la Plaza Tiananmen, Explorar el Templo del Cielo, Disfrutar del Mercado de la Seda
Copenhague, Visitar los Jardines de Tivoli, Recorrer el Museo Nacional de Dinamarca, Pasear por Nyhavn, Explorar la Sirenita, Disfrutar del Mercado Torvehallerne
Vientiane, Visitar el Pha That Luang, Recorrer el Museo Nacional de Laos, Pasear por el Parque Patuxai, Explorar el Templo Wat Si Saket, Disfrutar del Mercado Talat Sao
Mykonos, Visitar las Playas de Mykonos, Recorrer el Viejo Puerto, Pasear por los Molinos de Viento, Explorar la Pequeña Venecia, Disfrutar de los bares y restaurantes de Mykonos
Cuzco, Visitar Machu Picchu, Recorrer la Plaza de Armas de Cuzco, Pasear por el Mercado de San Pedro, Explorar el Valle Sagrado, Disfrutar del Templo del Sol (Qorikancha)
Porto, Visitar la Bodega de Vino de Oporto, Recorrer la Torre de los Clérigos, Pasear por el Puente de Luis I, Explorar la Ribeira, Disfrutar de un crucero por el río Duero
Fes, Visitar la Medina de Fes, Recorrer la Universidad de Al-Qarawiyyin, Pasear por el Templo de los curtidores, Explorar el Palacio Real de Fes, Disfrutar de la Plaza Boujloud
Vilna, Visitar la Iglesia de San Pedro y San Pablo, Recorrer la Universidad de Vilna, Pasear por la Plaza de la Catedral, Explorar el Museo Nacional de Lituania, Disfrutar del Mercado Halės
Ulaanbaatar, Visitar el Monasterio de Gandan, Recorrer el Museo de Historia Natural de Mongolia, Pasear por el Parque de la Paz, Explorar el Palacio de Invierno, Disfrutar del Mercado Naran Tuul
Aberdeen, Visitar el Museo Marítimo de Aberdeen, Recorrer el Jardín Botánico de la Universidad de Aberdeen, Pasear por el Puerto de Aberdeen, Explorar el Castillo de Dunnottar, Disfrutar de la playa de Aberdeen
Dublin, Visitar la Biblioteca de Trinity College, Recorrer el Museo Nacional de Irlanda, Pasear por Temple Bar, Explorar el Castillo de Dublín, Disfrutar del Mercado de St. George
Cartagena, Visitar la Ciudad Amurallada, Recorrer el Castillo de San Felipe de Barajas, Pasear por la Plaza Santo Domingo, Explorar el Museo de Oro, Disfrutar de la Playa de Bocagrande
Shangai, Visitar el Museo de Shangai, Recorrer la Calle Nanjing, Pasear por el Bund, Explorar el Templo del Buda de Jade, Disfrutar de la Torre de Shangai
Cartago, Visitar la Basílica de Nuestra Señora de los Ángeles, Recorrer el Parque Nacional Volcán Irazú, Pasear por la Ruinas de la Parroquia de Santiago Apóstol, Explorar el Museo Municipal de Cartago, Disfrutar del Mercado Municipal de Cartago
Riyadh, Visitar el Museo Nacional de Arabia Saudita, Recorrer la Fortaleza Masmak, Pasear por el Centro de Artes de King Abdulaziz, Explorar el Mercado de Souk al-Thumairi, Disfrutar de la Torre Kingdom
Palermo, Visitar la Catedral de Palermo, Recorrer el Palacio de los Normandos, Pasear por los Jardines Botánicos, Explorar el Mercado de Ballarò, Disfrutar de la Playa de Mondello
Girona, Visitar la Catedral de Girona, Recorrer el Barrio Judío, Pasear por los Puentes de Girona, Explorar el Museo de Historia de los Judíos, Disfrutar del Mercado de la Plaza de la Independencia
Memphis, Visitar Graceland, Recorrer el Museo Nacional de Derechos Civiles, Pasear por Beale Street, Explorar el Parque de Overton, Disfrutar del Mercado Agricultor de Memphis
San Sebastián, Visitar la Playa de la Concha, Recorrer el Casco Antiguo, Pasear por el Monte Urgull, Explorar el Museo San Telmo, Disfrutar de las tapas en la Parte Vieja
Taichung, Visitar el Museo Nacional de Bellas Artes, Recorrer el Parque Taichung, Pasear por el Mercado Nocturno Fengjia, Explorar el Lago Sun Moon, Disfrutar del Mercado de Artesanías de Taichung
Mar del Plata, Visitar la Playa Varese, Recorrer el Museo de Arte Contemporáneo, Pasear por el Puerto de Mar del Plata, Explorar el Parque Camet, Disfrutar del Casino Central
Trieste, Visitar el Castillo de Miramare, Recorrer el Museo Revoltella, Pasear por la Plaza Unità d'Italia, Explorar el Teatro Romano, Disfrutar del Mercado de Trieste
Tel Aviv, Visitar el Museo de Arte de Tel Aviv, Recorrer la Ciudad Blanca, Pasear por el Puerto de Jaffa, Explorar el Mercado Carmel, Disfrutar de la Playa de Tel Aviv
Oaxaca, Visitar las Ruinas de Monte Albán, Recorrer el Zócalo de Oaxaca, Pasear por el Mercado 20 de Noviembre, Explorar el Museo de Arte de Oaxaca, Disfrutar de la Guelaguetza
Berlin, Visitar la Puerta de Brandeburgo, Recorrer el Museo de Pérgamo, Pasear por el Muro de Berlín, Explorar el Memorial del Holocausto, Disfrutar de Alexanderplatz
Medellin, Visitar el Museo de Antioquia, Recorrer el Parque Arví, Pasear por la Comuna 13, Explorar el Jardín Botánico, Disfrutar de las flores en el Parque de los Deseos
Phuket, Visitar el Gran Buda de Phuket, Recorrer el Mercado de Phuket, Pasear por las playas de Patong, Explorar la Isla Phi Phi, Disfrutar del Templo Chalong
Toulouse, Visitar la Basílica de San Sernin, Recorrer el Museo de los Agustinos, Pasear por el Capitole de Toulouse, Explorar el Canal du Midi, Disfrutar del Mercado Victor Hugo
Cusco, Visitar Machu Picchu, Recorrer la Plaza de Armas de Cusco, Pasear por el Mercado de San Pedro, Explorar el Valle Sagrado, Disfrutar del Templo del Sol (Qorikancha)
Sidney, Visitar la Ópera de Sídney, Recorrer el Puente del Puerto de Sídney, Pasear por Bondi Beach, Explorar el Zoológico de Taronga, Disfrutar de los Jardines Botánicos de Sídney
Bogotá, Visitar el Museo del Oro, Recorrer el Parque de la 93, Pasear por el Cerro de Monserrate, Explorar la Candelaria, Disfrutar de la Zona T
Stockholm, Visitar el Palacio Real de Estocolmo, Recorrer el Museo Vasa, Pasear por Gamla Stan, Explorar el Museo Abba, Disfrutar de Djurgården
Sapporo, Visitar el Parque Odori, Recorrer la Torre de Sapporo, Pasear por el Mercado Nijo, Explorar el Museo de la Cerveza de Sapporo, Disfrutar del Templo Hokkaido
Vilnius, Visitar la Iglesia de San Pedro y San Pablo, Recorrer la Universidad de Vilna, Pasear por la Plaza de la Catedral, Explorar el Museo Nacional de Lituania, Disfrutar del Mercado Halės
Dubrovnik, Visitar la Ciudad Vieja, Recorrer las Murallas de Dubrovnik, Pasear por la Isla de Lokrum, Explorar el Palacio del Rector, Disfrutar de las Playas de Dubrovnik
Estambul, Visitar la Mezquita Azul, Recorrer la Hagia Sophia, Pasear por el Gran Bazar, Explorar el Palacio Topkapi, Disfrutar de las vistas desde la Torre de Gálata
Saigon, Visitar el Museo de los Restos de la Guerra, Recorrer la Catedral de Notre-Dame, Pasear por Ben Thanh Market, Explorar el Mercado de Cholon, Disfrutar del Parque Tao Dan
Frankfurt, Visitar el Museo Städel, Recorrer la Plaza Römer, Pasear por el Puente Alte Brücke, Explorar la Casa de Goethe, Disfrutar del Palmengarten
Napoles, Visitar el Museo Arqueológico Nacional, Recorrer el Palacio Real de Nápoles, Pasear por el Mercado de Spaccanapoli, Explorar el Castillo del Ovo, Disfrutar de la Piazza del Plebiscito
El Cairo, Visitar las Pirámides de Giza, Recorrer el Museo Egipcio, Pasear por el Mercado Khan el Khalili, Explorar la Ciudadela de Saladino, Disfrutar de las orillas del Nilo
Singapur, Visitar los Jardines de la Bahía, Recorrer el Museo Nacional de Singapur, Pasear por Orchard Road, Explorar el Barrio Chino, Disfrutar del Marina Bay Sands
Viena, Visitar el Palacio de Schönbrunn, Recorrer la Ópera Estatal de Viena, Pasear por el Museo de Historia del Arte, Explorar la Catedral de San Esteban, Disfrutar del Prater
Tiflis, Visitar la Fortaleza de Narikala, Recorrer el Puente de la Paz, Pasear por la Plaza de la Libertad, Explorar el Museo Nacional de Georgia, Disfrutar del Mercado de las Pulgas
Punta Cana, Visitar las Playas de Bávaro, Recorrer el Parque Ecológico Ojos Indígenas, Pasear por el Centro de Punta Cana, Explorar la Isla Saona, Disfrutar de las aguas cristalinas
Zadar, Visitar el Órgano Marino, Recorrer el Foro Romano, Pasear por el Museo del Oro, Explorar la Iglesia de San Donato, Disfrutar del atardecer en el Saludo al Sol
Marrakech, Visitar la Plaza Jemaa el-Fna, Recorrer el Palacio de la Bahía, Pasear por los Jardines de Majorelle, Explorar la Medina de Marrakech, Disfrutar del Mercado de Souk
Ubud, Visitar los Arrozales de Tegallalang, Recorrer el Bosque de los Monos, Pasear por el Mercado de Ubud, Explorar el Palacio Real de Ubud, Disfrutar del Templo de Tirta Empul
Lima, Visitar la Plaza de Armas, Recorrer el Museo Larco, Pasear por el Malecón de Miraflores, Explorar el Parque Kennedy, Disfrutar del Mercado de Surquillo
Colombo, Visitar el Templo de Gangaramaya, Recorrer el Museo Nacional de Colombo, Pasear por Galle Face Green, Explorar el Mercado de Pettah, Disfrutar de la playa de Mount Lavinia
Edinburgh, Visitar el Castillo de Edimburgo, Recorrer la Royal Mile, Pasear por los Jardines de Princes Street, Explorar el Museo Nacional de Escocia, Disfrutar de Arthur’s Seat
Montevideo, Visitar la Plaza Independencia, Recorrer el Mercado del Puerto, Pasear por la Rambla de Montevideo, Explorar el Museo Nacional de Artes Visuales, Disfrutar de la Ciudad Vieja
Cork, Visitar la Catedral de San Finbar, Recorrer el Mercado de English Market, Pasear por el Parque Fitzgerald, Explorar la Universidad de Cork, Disfrutar del Castillo de Blarney
Yangon, Visitar la Pagoda Shwedagon, Recorrer el Lago Inya, Pasear por el Mercado Bogyoke Aung San, Explorar el Museo Nacional de Myanmar, Disfrutar del Parque Kandawgyi
Krakow, Visitar la Plaza del Mercado, Recorrer el Castillo de Wawel, Pasear por el Barrio Judío, Explorar el Museo de la Fábrica de Oskar Schindler, Disfrutar del Parque Planty
Chengdu, Visitar el Centro de Investigación del Panda Gigante, Recorrer el Templo Wuhou, Pasear por la Calle Jinli, Explorar el Parque del Pueblo, Disfrutar de una comida en el Mercado de Comida Picante
Macao, Visitar las Ruinas de San Pablo, Recorrer el Museo de Macao, Pasear por la Plaza Senado, Explorar el Templo de A-Ma, Disfrutar del Casino Venetian
Funchal, Visitar el Jardín Botánico de Madeira, Recorrer el Mercado dos Lavradores, Pasear por la Playa Formosa, Explorar el Museo de Arte Contemporáneo, Disfrutar de los Jardines de Monte
Los Angeles, Visitar el Museo Getty, Recorrer el Paseo de la Fama de Hollywood, Pasear por Venice Beach, Explorar el Griffith Observatory, Disfrutar del Mercado de Grand Central
Hvar, Visitar la Fortaleza de Hvar, Recorrer la Plaza Principal, Pasear por la Playa de Pakleni Islands, Explorar el Monasterio Franciscano, Disfrutar de los mercados locales
Paris, Visitar la Torre Eiffel, Recorrer el Museo del Louvre, Pasear por el Barrio de Montmartre, Explorar la Catedral de Notre-Dame, Disfrutar del Mercado de Rue Mouffetard
